
Kowar vs CLE 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,1,0,0,3,6,10,24
Percentage,16.67%,4.17%,0.00%,0.00%,12.50%,25.00%,41.67%,66.67%
Avr. Est. BABIP Against,0.73,0.33,0,0,N/A,N/A,0.23,0.37
Avr. Est. WOBA Against,0.71,0.53,0,0,N/A,N/A,0.22,0.38

Quantrill vs KC 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,2,0,3,4,9,25,52
Percentage,17.31%,3.85%,0.00%,5.77%,7.69%,17.31%,48.08%,65.38%
Avr. Est. BABIP Against,0.65,0.25,0,0.69,N/A,N/A,0.24,0.41
Avr. Est. WOBA Against,0.66,0.27,0,1.4,N/A,N/A,0.26,0.47

TBD1 vs CIN 2021 Record 

Sanmartin vs PIT 2021 Record 

Keuchel vs DET 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,18,3,0,2,5,7,32,67
Percentage,26.87%,4.48%,0.00%,2.99%,7.46%,10.45%,47.76%,58.21%
Avr. Est. BABIP Against,0.58,0.38,0,0.85,N/A,N/A,0.22,0.4
Avr. Est. WOBA Against,0.54,0.49,0,1.13,N/A,N/A,0.24,0.41

Manning vs CWS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,2,0,0,4,2,14,31
Percentage,29.03%,6.45%,0.00%,0.00%,12.90%,6.45%,45.16%,51.61%
Avr. Est. BABIP Against,0.53,0.83,0,0,N/A,N/A,0.17,0.44
Avr. Est. WOBA Against,0.5,1.23,0,0,N/A,N/A,0.16,0.46

Gray vs COL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,2,0,2,7,11,15,39
Percentage,5.13%,5.13%,0.00%,5.13%,17.95%,28.21%,38.46%,66.67%
Avr. Est. BABIP Against,0.76,0.7,0,0.51,N/A,N/A,0.19,0.32
Avr. Est. WOBA Against,0.75,0.99,0,0.97,N/A,N/A,0.19,0.4

Marquez vs WSH 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,2,0,1,1,1,11,21
Percentage,23.81%,9.52%,0.00%,4.76%,4.76%,4.76%,52.38%,57.14%
Avr. Est. BABIP Against,0.41,0.36,0,0.54,N/A,N/A,0.27,0.33
Avr. Est. WOBA Against,0.41,0.49,0,1.01,N/A,N/A,0.31,0.39

Irvin vs SEA 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,22,5,0,2,7,10,35,81
Percentage,27.16%,6.17%,0.00%,2.47%,8.64%,12.35%,43.21%,55.56%
Avr. Est. BABIP Against,0.57,0.51,0,0.45,N/A,N/A,0.2,0.37
Avr. Est. WOBA Against,0.54,0.65,0,0.85,N/A,N/A,0.2,0.38

Flexen vs OAK 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,6,0,2,6,17,55,100
Percentage,14.00%,6.00%,0.00%,2.00%,6.00%,17.00%,55.00%,72.00%
Avr. Est. BABIP Against,0.55,0.73,0,0.93,N/A,N/A,0.17,0.31
Avr. Est. WOBA Against,0.53,0.74,0,1.87,N/A,N/A,0.18,0.34
